# Abstand links, Wellenlaenge links, Abstand rechts, Wellenlaenge rechts
      2.00,     649.81,       1.90,     617.27
      4.00,     651.17,       3.60,     585.74
      5.90,     642.41,       5.60,     609.38
      8.00,     656.57,       7.70,     631.44
     10.10,     667.36,       9.70,     640.09
     12.70,     706.00,      11.80,     653.68
     15.30,     737.04,      14.00,     670.65
     18.30,     781.70,      16.40,     694.66
